"Α05. Απογραφή Πληθυσμού-Κατοικιών 2021. Κανονικές κατοικίες κατά κατάσταση κατοικίας (κατοικούμενες, κενές), διαθεσιμότητα δικτύου υδροδότησης και λουτρού",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Περιφερειακές Ενότητες ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Γεωγραφικό επίπεδο,Γεωγραφικός κωδικός,Περιγραφή/Δίκτυο υδροδότησης  ,Κανονικές κατοικίες,,,,,Κατοικούμενες,,,,,Κενές,,,,
,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,
,,,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους ,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους ,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους 
,,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,
,,,,,,,,,,,,,,,,,
0,0,ΣΥΝΟΛΟ ΧΩΡΑΣ,6596761,6506256,6360140,146114,90502,4319144,4311832,4207744,104091,7314,2277615,2194422,2152399,42025,83191
0,0,Διαθεσιμότητα δικτύου υδροδότησης ,6565249,6502420,6356589,145833,62826,4314765,4310812,4206765,104051,3949,2250486,2191604,2149822,41780,58879
0,0,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,6538419,6480413,6356589,123827,58003,4297746,4295584,4206765,88822,2159,2240670,2184827,2149822,35007,55847
0,0,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,26828,22004,0,22004,4820,17017,15232,0,15232,1788,9813,6775,0,6775,3036
0,0,Χωρίς δίκτυο υδροδότησης ,31510,3834,3553,278,27672,4381,1016,977,38,3362,27131,2820,2575,243,24314
1,1,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,1825932,1800840,1763060,37777,25088,1195859,1193804,1165325,28477,2057,630070,607038,597732,9303,23030
1,1,Διαθεσιμότητα δικτύου υδροδότησης ,1817948,1800681,1762931,37748,17269,1195043,1193767,1165300,28464,1278,622903,606917,597632,9281,15989
1,1,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,1810139,1794129,1762931,31201,16007,1189651,1188942,1165300,23644,707,620485,605185,597632,7555,15302
1,1,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,7811,6550,0,6550,1260,5393,4823,0,4823,573,2420,1729,0,1729,689
1,1,Χωρίς δίκτυο υδροδότησης ,7981,161,132,32,7817,818,40,27,10,781,7165,124,103,19,7038
3,111,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,349758,343101,333839,9265,6653,229160,228331,221366,6962,825,120602,114768,112470,2301,5830
3,111,Διαθεσιμότητα δικτύου υδροδότησης ,347621,343093,333830,9265,4526,228896,228331,221366,6962,563,118721,114759,112461,2301,3967
3,111,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,345641,341486,333830,7659,4153,227415,227090,221366,5721,323,118224,114394,112461,1935,3827
3,111,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,1977,1609,0,1609,371,1479,1244,0,1244,238,501,368,0,368,136
3,111,Χωρίς δίκτυο υδροδότησης ,2133,6,6,0,2124,260,0,0,0,260,1877,6,6,0,1867
4,11101,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ,61112,59283,56400,2886,1833,43537,43118,41017,2104,416,17579,16162,15385,780,1414
4,11101,Διαθεσιμότητα δικτύου υδροδότησης ,60482,59283,56400,2886,1202,43444,43118,41017,2104,323,17041,16162,15385,780,876
4,11101,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,59929,58912,56400,2508,1021,42977,42801,41017,1781,178,16955,16108,15385,725,844
4,11101,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,556,375,0,375,178,465,321,0,321,142,88,57,0,57,34
4,11101,Χωρίς δίκτυο υδροδότησης ,635,0,0,0,635,95,0,0,0,95,536,0,0,0,536
4,11102,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,53154,52145,50551,1592,1011,35398,35337,34184,1154,59,17758,16806,16369,433,950
4,11102,Διαθεσιμότητα δικτύου υδροδότησης ,52943,52145,50551,1592,800,35385,35337,34184,1154,47,17560,16806,16369,433,752
4,11102,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,52723,51965,50551,1412,756,35237,35210,34184,1022,31,17484,16759,16369,393,722
4,11102,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,222,177,0,177,42,146,131,0,131,13,74,44,0,44,27
4,11102,Χωρίς δίκτυο υδροδότησης ,213,0,0,0,213,10,0,0,0,10,201,0,0,0,201
4,11103,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΕΒΡΟΥ,84875,83336,81758,1580,1537,55397,55254,54050,1207,141,29481,28080,27706,371,1399
4,11103,Διαθεσιμότητα δικτύου υδροδότησης ,84352,83336,81758,1580,1018,55330,55254,54050,1207,73,29024,28080,27706,371,942
4,11103,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,83946,82995,81758,1239,949,55051,55010,54050,958,44,28892,27987,27706,278,903
4,11103,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,408,339,0,339,67,276,247,0,247,27,128,95,0,95,37
4,11103,Χωρίς δίκτυο υδροδότησης ,522,0,0,0,522,65,0,0,0,65,454,0,0,0,454
4,11104,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΑΣΟΥ,12129,11913,11574,342,214,5435,5419,5221,194,13,6691,6492,6349,145,198
4,11104,Διαθεσιμότητα δικτύου υδροδότησης ,12113,11913,11574,342,203,5432,5419,5221,194,10,6684,6492,6349,145,190
4,11104,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,12039,11851,11574,280,191,5371,5368,5221,143,0,6671,6481,6349,135,188
4,11104,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,71,64,0,64,9,58,54,0,54,7,15,13,0,13,4
4,11104,Χωρίς δίκτυο υδροδότησης ,13,0,0,0,13,6,0,0,0,6,5,0,0,0,5
4,11105,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,82232,81290,79606,1687,945,47999,47931,46614,1314,71,34236,33362,32989,370,870
4,11105,Διαθεσιμότητα δικτύου υδροδότησης ,81978,81290,79606,1687,691,47974,47931,46614,1314,46,34007,33362,32989,370,647
4,11105,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,81554,80888,79606,1286,663,47664,47639,46614,1022,22,33892,33252,32989,266,637
4,11105,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,427,399,0,399,30,307,289,0,289,21,117,107,0,107,12
4,11105,Χωρίς δίκτυο υδροδότησης ,252,0,0,0,252,27,0,0,0,27,227,0,0,0,227
4,11106,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΞΑΝΘΗΣ,56246,55132,53953,1182,1116,41391,41270,40281,992,123,14858,13865,13675,192,991
4,11106,Διαθεσιμότητα δικτύου υδροδότησης ,55746,55123,53944,1182,620,41333,41270,40281,992,66,14410,13856,13666,192,552
