Πίνακας 2. Κτίρια κατά χρήση ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Σύνολο Ελλάδος, Μεγάλες Γεωγραφικές Περιοχές, Αποκεντρωμένες Διοικήσεις, Περιφέρειες, Περιφερειακές Ενότητες, Δήμοι, Δημοτικές Ενότητες, Δημοτικές Κοινότητες, Οικισμοί",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Απογραφή Κτιρίων 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Επίπεδο διοικητικής διαίρεσης,Γεωγραφικός κωδικός,Περιγραφή διοικητικής διαίρεσης,Σύνολο κτιρίων,Κτίρια αποκλειστικής χρήσης,,,,,,,,,,,,,,,,Κτίρια μεικτής χρήσης,,,,,,,,,,,,,,,
,,,,Σύνολο κτιρίων αποκλειστικής χρήσης,Αποκλειστική χρήση κτιρίων,,,,,,,,,,,,,,,Σύνολο κτιρίων μεικτής χρήσης,Κύρια χρήση κτιρίων μεικτής χρήσης,,,,,,,,,,,,,,
,,,,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση
0, ,ΣΥΝΟΛΟ ΧΩΡΑΣ,4285084,3932720,2986480,51521,56306,42517,18509,1868,3745,923,93,10158,143999,6625,9736,1602,598638,352364,300288,1251,8508,2976,582,1584,436,117,6,1255,33634,630,226,159,712
1,1,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,1245761,1123563,802920,11103,8616,12453,6178,371,1083,326,17,3284,36137,2009,3095,401,235570,122198,109464,680,2031,825,124,339,118,31,2,373,7700,147,71,25,268
2,11,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,906640,805816,587973,5737,6672,9563,4210,303,825,223,15,2194,27469,1426,1960,304,156942,100824,91279,637,1578,665,89,229,82,20,2,248,5611,98,46,16,224
3,111,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,293284,270619,187445,2035,2212,2281,1448,94,266,87,2,827,9534,483,681,77,63147,22665,20157,49,278,118,28,57,21,6,0,59,1813,26,12,3,38
4,11101,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ,60289,54488,33883,434,58,439,320,17,42,15,1,141,2058,74,23,11,16972,5801,5498,16,11,30,12,9,3,2,0,10,186,5,4,1,14
5,1110101,ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ,25133,23019,16211,145,21,204,141,11,28,3,1,81,1159,47,8,7,4952,2114,1934,6,9,22,2,8,2,1,0,9,114,3,0,1,3
6,111010101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΜΟΤΗΝΗΣ,19223,17522,12734,108,9,170,112,10,20,3,1,65,1049,44,8,7,3182,1701,1537,5,5,19,2,8,2,1,0,9,108,1,0,1,3
7,11101010101,Δημοτική Κοινότητα Κομοτηνής,14235,12788,10057,59,8,99,89,10,16,1,1,55,877,38,8,3,1467,1447,1298,3,4,13,2,8,2,1,0,8,103,1,0,1,3
8,1110101010101,"Κομοτηνή,η",12036,10821,8861,48,7,58,72,9,15,1,1,53,805,35,8,2,846,1215,1090,3,4,2,2,8,2,1,0,8,91,1,0,1,2
8,1110101010102,"Ήφαιστος,ο",802,746,650,1,0,1,2,1,0,0,0,0,28,0,0,0,63,56,54,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,1110101010103,"Μέγα Κρανοβούνιον,το",243,209,93,2,0,1,2,0,0,0,0,0,1,2,0,0,108,34,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1110101010104,"Μεσοχώριον,το",154,151,77,1,0,8,1,0,0,0,0,0,8,0,0,0,56,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010105,"Μικρόν Κρανοβούνιον,το",173,149,75,2,0,2,2,0,0,0,0,0,2,1,0,0,65,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010106,"Παραδημή,η",419,352,157,2,0,1,3,0,0,0,0,0,1,0,0,0,188,67,65,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8,1110101010107,"Σχολή Αστυνομίας,η",9,8,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1110101010108,"Υφανταί,οι",399,352,144,3,1,28,3,0,1,0,0,2,31,0,0,1,138,47,29,0,0,10,0,0,0,0,0,0,7,0,0,0,1
7,11101010102,Δημοτική Κοινότητα Ανθοχωρίου,148,146,56,2,0,3,1,0,0,0,0,0,4,0,0,0,80,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010201,"Ανθοχώριον,το",148,146,56,2,0,3,1,0,0,0,0,0,4,0,0,0,80,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010103,Δημοτική Κοινότητα Γρατίνης,325,256,156,4,0,0,2,0,0,1,0,0,6,1,0,0,86,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010301,"Γρατινή,η",325,256,156,4,0,0,2,0,0,1,0,0,6,1,0,0,86,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010104,Δημοτική Κοινότητα Θρυλορίου,1292,1242,694,13,0,50,6,0,3,1,0,7,44,3,0,4,417,50,45,1,1,2,0,0,0,0,0,0,1,0,0,0,0
8,1110101010401,"Θρυλόριον,το",595,591,270,7,0,48,4,0,2,1,0,7,10,2,0,0,240,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010402,"Ροδίτης,ο",472,446,321,4,0,1,1,0,1,0,0,0,29,1,0,4,84,26,23,0,1,2,0,0,0,0,0,0,0,0,0,0,0
8,1110101010403,"Φύλακας,ο",225,205,103,2,0,1,1,0,0,0,0,0,5,0,0,0,93,20,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,11101010105,Δημοτική Κοινότητα Ιτέας,85,85,41,2,0,1,1,0,0,0,0,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010501,"Ιτέα,η",85,85,41,2,0,1,1,0,0,0,0,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010106,Δημοτική Κοινότητα Κάλχαντος,1016,934,462,9,0,4,6,0,0,0,0,0,43,0,0,0,410,82,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,1110101010601,"Κάλχας,ο",513,475,220,1,0,1,2,0,0,0,0,0,36,0,0,0,215,38,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,1110101010602,"Ιάμπολις,η",120,108,46,2,0,1,1,0,0,0,0,0,3,0,0,0,55,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010603,"Μεγάλη Άδα,η",27,27,21,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010604,"Μύτικας,ο",43,43,32,2,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010605,"Σαρακηνή,η",71,71,49,1,0,1,1,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101010606,"Τυχηρόν,το",242,210,94,1,0,1,1,0,0,0,0,0,2,0,0,0,111,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010107,Δημοτική Κοινότητα Καρυδιάς,259,254,179,3,0,6,0,0,0,0,0,1,14,1,0,0,50,5,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,1110101010701,"Καρυδιά,η",259,254,179,3,0,6,0,0,0,0,0,1,14,1,0,0,50,5,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7,11101010108,Δημοτική Κοινότητα Κηκιδίου,447,438,221,1,0,0,1,0,0,0,0,0,27,0,0,0,188,9,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1110101010801,"Κηκίδιον,το",447,438,221,1,0,0,1,0,0,0,0,0,27,0,0,0,188,9,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,11101010109,Δημοτική Κοινότητα Κοσμίου,709,699,401,2,0,7,2,0,1,0,0,2,7,0,0,0,277,10,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
8,1110101010901,"Κόσμιον,το",709,699,401,2,0,7,2,0,1,0,0,2,7,0,0,0,277,10,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7,11101010110,Δημοτική Κοινότητα Πανδρόσου,416,411,322,10,1,0,2,0,0,0,0,0,12,1,0,0,63,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1110101011001,"Πάνδροσος,η",157,153,110,6,0,0,0,0,0,0,0,0,6,1,0,0,30,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101011002,"Νυμφαία,η",63,63,56,1,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101011003,"Σύμβολα,τα",196,195,156,3,0,0,1,0,0,0,0,0,5,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,11101010111,Δημοτική Κοινότητα Σιδηράδων,94,87,48,2,0,0,1,0,0,0,0,0,6,0,0,0,30,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1110101011101,"Σιδηράδες,οι",94,87,48,2,0,0,1,0,0,0,0,0,6,0,0,0,30,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,11101010112,Δημοτική Κοινότητα Στυλάριου,197,182,97,1,0,0,1,0,0,0,0,0,8,0,0,0,75,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101011201,"Στυλάριον,το",197,182,97,1,0,0,1,0,0,0,0,0,8,0,0,0,75,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,111010102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΙΓΕΙΡΟΥ,3585,3317,2191,22,11,8,14,1,3,0,0,14,70,2,0,0,981,268,260,1,4,0,0,0,0,0,0,0,2,1,0,0,0
7,11101010201,Δημοτική Κοινότητα Αιγείρου,915,765,418,7,0,5,2,1,3,0,0,1,13,0,0,0,315,150,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101020101,"Αίγειρος,η",610,463,283,3,0,0,2,0,2,0,0,1,9,0,0,0,163,147,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101020102,"Αγροτικόν Ορφανοτροφείον,το",3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101020103,"Μεσσούνη,η",302,299,135,4,0,5,0,1,0,0,0,0,3,0,0,0,151,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010202,Δημοτική Κοινότητα Αρωγής,394,394,390,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
