Α/Α,Γεωγρα-φικό επίπεδο,NUTS1,NUTS2,Γεωγραφικός κωδικός,Περιγραφή,Μόνιμος πληθυσμός
1,0, , , ,ΣΥΝΟΛΟ ΧΩΡΑΣ,10482487
2,1,1, , ,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,2932456
3,2,1,1, ,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,2357870
4,3,1,11, ,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,562201
5,4,1,11,01,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ,104262
6,5,1,11,0101,ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ,65243
7,6,1,11,010101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΜΟΤΗΝΗΣ,60160
8,7,1,11,01010101,Δημοτική Κοινότητα Κομοτηνής,54165
9,8,1,11,0101010101,"Κομοτηνή,η",51732
10,8,1,11,0101010102,"Ήφαιστος,ο",1348
11,8,1,11,0101010103,"Μέγα Κρανοβούνιον,το",95
12,8,1,11,0101010104,"Μεσοχώριον,το",99
13,8,1,11,0101010105,"Μικρόν Κρανοβούνιον,το",102
14,8,1,11,0101010106,"Παραδημή,η",309
15,8,1,11,0101010107,"Σχολή Αστυνομίας,η",109
16,8,1,11,0101010108,"Υφανταί,οι",371
17,7,1,11,01010102,Δημοτική Κοινότητα Ανθοχωρίου,65
18,8,1,11,0101010201,"Ανθοχώριον,το",65
19,7,1,11,01010103,Δημοτική Κοινότητα Γρατίνης,271
20,8,1,11,0101010301,"Γρατινή,η",271
21,7,1,11,01010104,Δημοτική Κοινότητα Θρυλορίου,1912
22,8,1,11,0101010401,"Θρυλόριον,το",550
23,8,1,11,0101010402,"Ροδίτης,ο",1078
24,8,1,11,0101010403,"Φύλακας,ο",284
25,7,1,11,01010105,Δημοτική Κοινότητα Ιτέας,70
26,8,1,11,0101010501,"Ιτέα,η",70
27,7,1,11,01010106,Δημοτική Κοινότητα Κάλχαντος,1074
28,8,1,11,0101010601,"Κάλχας,ο",598
29,8,1,11,0101010602,"Ιάμπολις,η",151
30,8,1,11,0101010603,"Μεγάλη Άδα,η",8
31,8,1,11,0101010604,"Μύτικας,ο",8
32,8,1,11,0101010605,"Σαρακηνή,η",29
33,8,1,11,0101010606,"Τυχηρόν,το",280
34,7,1,11,01010107,Δημοτική Κοινότητα Καρυδιάς,338
35,8,1,11,0101010701,"Καρυδιά,η",338
36,7,1,11,01010108,Δημοτική Κοινότητα Κηκιδίου,566
37,8,1,11,0101010801,"Κηκίδιον,το",566
38,7,1,11,01010109,Δημοτική Κοινότητα Κοσμίου,905
39,8,1,11,0101010901,"Κόσμιον,το",905
40,7,1,11,01010110,Δημοτική Κοινότητα Πανδρόσου,344
41,8,1,11,0101011001,"Πάνδροσος,η",106
42,8,1,11,0101011002,"Νυμφαία,η",37
43,8,1,11,0101011003,"Σύμβολα,τα",201
44,7,1,11,01010111,Δημοτική Κοινότητα Σιδηράδων,178
45,8,1,11,0101011101,"Σιδηράδες,οι",178
46,7,1,11,01010112,Δημοτική Κοινότητα Στυλάριου,272
47,8,1,11,0101011201,"Στυλάριον,το",272
48,6,1,11,010102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΙΓΕΙΡΟΥ,2870
49,7,1,11,01010201,Δημοτική Κοινότητα Αιγείρου,1019
50,8,1,11,0101020101,"Αίγειρος,η",777
51,8,1,11,0101020102,"Αγροτικόν Ορφανοτροφείον,το",39
52,8,1,11,0101020103,"Μεσσούνη,η",203
53,7,1,11,01010202,Δημοτική Κοινότητα Αρωγής,27
54,8,1,11,0101020201,"Αρωγή,η",27
55,7,1,11,01010203,Δημοτική Κοινότητα Γλυφάδας,136
56,8,1,11,0101020301,"Γλυφάδα,η",136
57,7,1,11,01010204,Δημοτική Κοινότητα Καλλίστης,125
58,8,1,11,0101020401,"Καλλίστη,η",125
59,7,1,11,01010205,Δημοτική Κοινότητα Μελέτης,320
60,8,1,11,0101020501,"Μελέτη,η",320
61,7,1,11,01010206,Δημοτική Κοινότητα Μέσης,141
62,8,1,11,0101020601,"Μέση,η",141
63,7,1,11,01010207,Δημοτική Κοινότητα Νέας Καλλίστης,311
64,8,1,11,0101020701,"Νέα Καλλίστη,η",311
65,7,1,11,01010208,Δημοτική Κοινότητα Παραλίας Μέσης,16
66,8,1,11,0101020801,"Παραλία Μέσης,η",16
67,7,1,11,01010209,Δημοτική Κοινότητα Πόρπης,337
68,8,1,11,0101020901,"Πόρπη,η",337
69,7,1,11,01010210,Δημοτική Κοινότητα Φαναρίου,438
70,8,1,11,0101021001,"Φανάριον,το",438
71,6,1,11,010103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,2213
72,7,1,11,01010301,Δημοτική Κοινότητα Νέου Σιδηροχωρίου,1070
73,8,1,11,0101030101,"Νέον Σιδηροχώριον,το",436
74,8,1,11,0101030102,"Αδριανή,η",105
75,8,1,11,0101030103,"Καλαμόκαστρον,το",302
76,8,1,11,0101030104,"Μαυρομμάτιον,το",103
77,8,1,11,0101030105,"Μικρόν Δουκάτον,το",124
78,7,1,11,01010302,Δημοτική Κοινότητα Αγίων Θεοδώρων,373
79,8,1,11,0101030201,"Άγιοι Θεόδωροι,οι",373
80,7,1,11,01010303,Δημοτική Κοινότητα Μεγάλου Δουκάτου,378
81,8,1,11,0101030301,"Μέγα Δουκάτον,το",378
82,7,1,11,01010304,Δημοτική Κοινότητα Παγουρίων,392
83,8,1,11,0101030401,"Παγούρια,τα",392
84,5,1,11,0102,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ,14905
85,6,1,11,010201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΙΛΛΥΡΑΣ,6813
86,7,1,11,01020101,Δημοτική Κοινότητα Φιλλύρας,827
87,8,1,11,0102010101,"Φιλλύρα,η",827
88,7,1,11,01020102,Δημοτική Κοινότητα Άγρας,166
89,8,1,11,0102010201,"Άγρα,η",166
90,7,1,11,01020103,Δημοτική Κοινότητα Άνω Δροσίνης,97
91,8,1,11,0102010301,"Άνω Δροσινή,η",97
92,7,1,11,01020104,Δημοτική Κοινότητα Αράτου,906
93,8,1,11,0102010401,"Άρατος,ο",906
94,7,1,11,01020105,Δημοτική Κοινότητα Αρδείας,25
95,8,1,11,0102010501,"Αρδεία,η",25
96,7,1,11,01020106,Δημοτική Κοινότητα Αρχοντικών,394
97,8,1,11,0102010601,"Αρχοντικά,τα",394
98,7,1,11,01020107,Δημοτική Κοινότητα Βραγιάς,418
99,8,1,11,0102010701,"Βραγιά,η",418
100,7,1,11,01020108,Δημοτική Κοινότητα Δοκού,918
101,8,1,11,0102010801,"Δοκός,η",918
102,7,1,11,01020109,Δημοτική Κοινότητα Δροσιάς,193
103,8,1,11,0102010901,"Δροσιά,η",193
104,7,1,11,01020110,Δημοτική Κοινότητα Δρύμης,262
105,8,1,11,0102011001,"Δρύμη,η",262
106,7,1,11,01020111,Δημοτική Κοινότητα Εσοχής,289
107,8,1,11,0102011101,"Εσοχή,η",289
108,7,1,11,01020112,Δημοτική Κοινότητα Κάτω Δροσινής,58
109,8,1,11,0102011201,"Κάτω Δροσινή,η",58
110,7,1,11,01020113,Δημοτική Κοινότητα Λαμπρού,475
111,8,1,11,0102011301,"Λαμπρόν,το",475
112,7,1,11,01020114,Δημοτική Κοινότητα Νέου Καλλυντήριου,243
113,8,1,11,0102011401,"Νέον Καλλυντήριον,το",243
114,7,1,11,01020115,Δημοτική Κοινότητα Νεύρων,148
115,8,1,11,0102011501,"Νεύρα,τα",148
116,7,1,11,01020116,Δημοτική Κοινότητα Ομηρικού,327
117,8,1,11,0102011601,"Ομηρικόν,το",327
118,7,1,11,01020117,Δημοτική Κοινότητα Πάσσου,618
119,8,1,11,0102011701,"Πάσσος,ο",618
120,7,1,11,01020118,Δημοτική Κοινότητα Πατερμών,111
121,8,1,11,0102011801,"Πατερμά,τα",111
122,7,1,11,01020119,Δημοτική Κοινότητα Ραγάδας,264
123,8,1,11,0102011901,"Ραγάδα,η",264
124,7,1,11,01020120,Δημοτική Κοινότητα Σκιάδας,74
125,8,1,11,0102012001,"Σκιάδα,η",74
126,6,1,11,010202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΡΡΙΑΝΩΝ,5288
127,7,1,11,01020201,Δημοτική Κοινότητα Αρριανών,1112
128,8,1,11,0102020101,"Αρριανά,τα",1112
129,7,1,11,01020202,Δημοτική Κοινότητα Αγιοχωρίου,221
130,8,1,11,0102020201,"Αγιοχώριον,το",221
131,7,1,11,01020203,Δημοτική Κοινότητα Δαρμένης,276
132,8,1,11,0102020301,"Δαρμένη,η",276
133,7,1,11,01020204,Δημοτική Κοινότητα Δειλινών,303
134,8,1,11,0102020401,"Δειλινά,τα",303
135,7,1,11,01020205,Δημοτική Κοινότητα Ηπίου,250
136,8,1,11,0102020501,"Ήπιον,το",250
137,7,1,11,01020206,Δημοτική Κοινότητα Κινύρων,151
138,8,1,11,0102020601,"Κίνυρα,τα",151
139,7,1,11,01020207,Δημοτική Κοινότητα Λυκείου,998
140,8,1,11,0102020701,"Λύκειον,το",998
141,7,1,11,01020208,Δημοτική Κοινότητα Μικρού Πιστού,391
142,8,1,11,0102020801,"Μικρόν Πιστόν,το",391
143,7,1,11,01020209,Δημοτική Κοινότητα Μύστακα,374
144,8,1,11,0102020901,"Μύστακας,ο",374
145,7,1,11,01020210,Δημοτική Κοινότητα Νέδας,229
146,8,1,11,0102021001,"Νέδα,η",229
147,7,1,11,01020211,Δημοτική Κοινότητα Νικητών,76
148,8,1,11,0102021101,"Νικηταί,οι",76
149,7,1,11,01020212,Δημοτική Κοινότητα Πλαγιάς,268
150,8,1,11,0102021201,"Πλαγιά,η",268
151,7,1,11,01020213,Δημοτική Κοινότητα Σκαλώματος,308
152,8,1,11,0102021301,"Σκάλωμα,το",308
153,7,1,11,01020214,Δημοτική Κοινότητα Στροφής,331
154,8,1,11,0102021401,"Στροφή,η",331
155,6,1,11,010203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΕΧΡΟΥ,1019
156,7,1,11,01020301,Δημοτική Κοινότητα Κέχρου,1019
157,8,1,11,0102030101,"Κέχρος,ο",188
158,8,1,11,0102030102,"Άνω Καμπή,η",15
159,8,1,11,0102030103,"Βούρλα,τα",30
160,8,1,11,0102030104,"Κάμπος,ο",64
161,8,1,11,0102030105,"Κερασιά,η",118
162,8,1,11,0102030106,"Μικρός Κέχρος,ο",80
163,8,1,11,0102030107,"Μοναστήριον,το",34
164,8,1,11,0102030108,"Τσούκκα,η",43
165,8,1,11,0102030109,"Χαμηλόν,το",69
166,8,1,11,0102030110,"Χαράδρα,η",91
167,8,1,11,0102030111,"Χλόη,η",287
168,6,1,11,010204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΟΡΓΑΝΗΣ,1785
169,7,1,11,01020401,Δημοτική Κοινότητα Οργάνης,1785
170,8,1,11,0102040101,"Οργάνη,η",459
171,8,1,11,0102040102,"Άνω Κάρδαμος,ο",40
172,8,1,11,0102040103,"Βυρσίνη,η",296
173,8,1,11,0102040104,"Δρανιά,η",134
174,8,1,11,0102040105,"Καλύβια,τα",32
175,8,1,11,0102040106,"Κάρδαμος,ο",165
176,8,1,11,0102040107,"Κάτω Βυρσίνη,η",49
177,8,1,11,0102040108,"Κόβαλον,το",23
178,8,1,11,0102040109,"Κύμη,η",210
179,8,1,11,0102040110,"Μυρτίσκη,η",317
180,8,1,11,0102040111,"Σμιγάδα,η",60
181,5,1,11,0103,ΔΗΜΟΣ ΙΑΣΜΟΥ,12247
182,6,1,11,010301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΙΑΣΜΟΥ,4974
183,7,1,11,01030101,Δημοτική Κοινότητα Ιάσμου,3892
184,8,1,11,0103010101,"Ίασμος,ο",2319
185,8,1,11,0103010102,"Γαλήνη,η",247
186,8,1,11,0103010103,"Διαλαμπή,η",365
187,8,1,11,0103010104,"Ιππικόν,το",29
188,8,1,11,0103010105,"Κοπτερόν,το",774
